feature,mean_importance
Facility Id,-0.0008588538909536592
Payment Typology 2,-0.0006723183244097042
Facility Name,-0.0005443649054766908
Payment Typology 3,-0.0005277615152743609
Hospital County,-0.00028882984177853733
Health Service Area,-9.47876551186777e-05
Abortion Edit Indicator,-1.8327231554704504e-05
Ethnicity,0.00010121230082409394
APR MDC Code,0.0002580126817701478
Race,0.000312471481131027
Gender,0.0006298601464442388
Operating Certificate Number,0.0006406869710493312
Emergency Department Indicator,0.000859317712865737
Zip Code - 3 digits,0.0018271054625286886
CCS Procedure Code,0.0020736226536736345
Birth Weight,0.0020849807717707282
APR Medical Surgical Description,0.003211197748403083
APR DRG Description,0.004050166388289233
Length of Stay,0.004057005531756297
CCS Diagnosis Description,0.004376921758801999
Payment Typology 1,0.004461083255379861
APR DRG Code,0.004841118572442094
Total Costs,0.004928186970097048
Type of Admission,0.005045685611710748
APR Severity of Illness Description,0.005158713469222276
Total Charges,0.006804165980293808
CCS Procedure Description,0.007407669891354352
Patient Disposition,0.013389847559220147
APR MDC Description,0.014222794208520396
CCS Diagnosis Code,0.04004002532780941
Age Group,0.17498042945960038
APR Severity of Illness Code,0.695810195952905
