feature,mean_importance
Payment Typology 3,-0.0018602872650146595
Race,-0.0013601560083974728
Abortion Edit Indicator,-6.167161118941777e-05
Facility Id,0.00010564753533901517
Payment Typology 2,0.000353122419252716
Ethnicity,0.0005008455569560421
Facility Name,0.0005424592449891907
Length of Stay,0.0010678903451964983
CCS Diagnosis Description,0.0018673631106378874
Health Service Area,0.002437454221468238
Emergency Department Indicator,0.002841125297776004
CCS Procedure Description,0.0028536104332189003
Zip Code - 3 digits,0.0032465009883748007
Total Costs,0.003648663952637721
Gender,0.0050107986319508635
Hospital County,0.0050412431234713615
APR DRG Code,0.0054574486950359265
Patient Disposition,0.0054863198435084245
Payment Typology 1,0.005555395836187383
Type of Admission,0.00578428343866535
APR DRG Description,0.005807950009451224
CCS Procedure Code,0.007145016621383271
Total Charges,0.007277125753923519
Operating Certificate Number,0.007457162982173226
APR MDC Code,0.01223941024737718
APR MDC Description,0.014884260476520384
Birth Weight,0.02134916649122074
APR Medical Surgical Description,0.024597381439009535
CCS Diagnosis Code,0.029156178790046193
APR Severity of Illness Description,0.08699780504111258
Age Group,0.329646381302443
APR Severity of Illness Code,0.4974104914282476
