feature,mean_importance
Gender,-4.8255570155109755e-05
APR Severity of Illness Description,-4.642930797582809e-05
Abortion Edit Indicator,-3.0761199269098427e-06
Payment Typology 1,9.524430517756227e-05
Patient Disposition,0.00012043971945840185
Payment Typology 3,0.00018875039550766138
Ethnicity,0.00021177054983470973
Race,0.000228559353940911
APR MDC Code,0.0002780034671720312
Payment Typology 2,0.0004982952297925738
APR Risk of Mortality,0.0005740286773183833
CCS Procedure Description,0.0009187192132321442
Type of Admission,0.00113640217544485
APR Medical Surgical Description,0.0012295515890937193
CCS Diagnosis Description,0.001310811971526045
Birth Weight,0.0013537289196109074
APR DRG Description,0.0013658668801635493
APR Severity of Illness Code,0.00211603499542087
CCS Procedure Code,0.003234603596225591
APR DRG Code,0.0033266526491472887
Emergency Department Indicator,0.0034602064161613024
CCS Diagnosis Code,0.004573325225815772
APR MDC Description,0.006230625154444187
Age Group,0.0068843836082300965
Hospital County,0.011386561322376108
Length of Stay,0.019631859106155787
Zip Code - 3 digits,0.022049292653270554
Health Service Area,0.02575885585399475
Facility Id,0.026190283176246776
Operating Certificate Number,0.03341414401375312
Facility Name,0.06211834245804711
Total Costs,1.2981874424360795
